gdb19	11	8	4	45	1	55	55	0	1.108	3520	{{3, 9, 9, 3, 2, 6, 7, 7, 4, 10, 8, 2, 0, 5, 1}}
gdb15	21	7	0	56	5	56	56	0	1.809	3520	{{5, 19, 12, 11, 17, 14, 1, 3, 8, 6, 13, 20, 10, 9, 16, 7, 0, 4, 18, 15, 2}}
gdb1	22	12	6	252	2	294	294	0	1.802	3520	{{4, 14, 10, 12, 16, 13, 14, 4, 1, 6, 7, 19, 21, 20, 7, 5, 9, 11, 18, 15, 13, 10, 9, 8, 6, 0, 3, 17, 15, 2}}
gdb20	22	11	4	105	3	121	121	0	1.825	3520	{{5, 12, 10, 18, 21, 17, 19, 16, 14, 14, 13, 13, 2, 1, 11, 15, 6, 7, 20, 4, 0, 9, 9, 8, 3}}
gdb17	28	8	8	84	2	92	92.3333	0.471405	2.164	3520	{{5, 5, 6, 21, 2, 2, 8, 12, 24, 9, 7, 17, 17, 16, 11, 9, 22, 4, 4, 25, 20, 18, 14, 1, 3, 23, 27, 26, 15, 13, 19, 10, 0}}
gdb13	28	10	4	509	4	520	522.667	3.77124	2.13	3520	{{13, 16, 0, 5, 8, 12, 10, 10, 6, 7, 18, 24, 24, 23, 25, 26, 27, 19, 17, 20, 2, 9, 6, 14, 15, 11, 22, 3, 4, 21, 1}}
gdb22	44	11	4	191	6	197	197	0	2.669	3520	{{4, 37, 32, 33, 9, 5, 13, 11, 17, 21, 21, 19, 19, 22, 40, 38, 43, 43, 15, 10, 20, 42, 39, 34, 24, 28, 8, 1, 18, 31, 14, 0, 7, 41, 35, 36, 27, 25, 30, 3, 2, 29, 16, 12, 23, 26, 6}}
gdb11	45	22	16	356	2	409	426.333	8.17856	2.894	8115	{{2, 30, 34, 40, 40, 39, 33, 3, 13, 14, 20, 20, 19, 19, 17, 16, 1, 29, 29, 11, 12, 12, 10, 27, 27, 25, 28, 31, 41, 42, 43, 44, 8, 5, 9, 22, 24, 36, 36, 35, 18, 16, 3, 32, 26, 0, 16, 18, 37, 38, 33, 15, 6, 7, 23, 21, 4}}
gdb2	26	12	4	291	3	315	315	0	1.528	3520	{{3, 8, 6, 10, 13, 25, 23, 24, 22, 16, 17, 17, 12, 10, 9, 7, 0, 1, 11, 5, 2, 18, 21, 19, 15, 12, 14, 20, 19, 4}}
gdb14	21	7	0	96	5	96	96	0	1.073	3520	{{5, 19, 12, 11, 17, 14, 1, 3, 8, 6, 13, 20, 10, 9, 16, 7, 0, 4, 18, 15, 2}}
gdb16	28	8	8	119	3	125	126.333	0.942809	1.504	8115	{{2, 21, 21, 13, 7, 9, 23, 23, 22, 10, 12, 17, 1, 3, 14, 1, 5, 20, 18, 24, 27, 16, 15, 19, 8, 11, 25, 4, 6, 26, 10, 0}}
gdb10	25	12	6	252	4	275	277	2.82843	1.348	3520	{{2, 23, 23, 22, 1, 4, 5, 9, 20, 10, 8, 18, 17, 7, 19, 17, 6, 11, 0, 21, 24, 16, 16, 3, 3, 13, 12, 15, 14}}
gdb21	33	11	4	149	4	155	155	0	1.771	3520	{{6, 14, 12, 24, 32, 25, 12, 11, 22, 23, 26, 30, 29, 31, 5, 0, 10, 21, 28, 19, 20, 13, 9, 17, 7, 5, 27, 4, 2, 15, 18, 8, 3, 16, 1}}
gdb18	36	9	0	158	6	158	158	0	1.603	3520	{{0, 12, 27, 29, 35, 28, 26, 22, 23, 33, 24, 9, 8, 20, 34, 18, 16, 10, 11, 30, 5, 2, 25, 7, 4, 32, 14, 13, 31, 17, 15, 21, 3, 1, 19, 6}}
gdb12	23	13	6	336	3	384	384	0	1.34	3520	{{1, 1, 2, 10, 19, 20, 22, 21, 11, 9, 3, 3, 12, 13, 8, 4, 7, 7, 6, 15, 18, 18, 16, 17, 14, 5, 0}}
gdb6	22	12	4	260	2	279	280	1.41421	1.114	3520	{{4, 16, 15, 17, 19, 19, 17, 15, 12, 13, 21, 4, 1, 8, 5, 7, 20, 3, 2, 18, 14, 9, 10, 11, 6, 0}}
gdb5	26	13	6	316	2	346	350	2.82843	1.308	3520	{{4, 14, 12, 12, 13, 21, 20, 22, 22, 20, 18, 19, 4, 2, 16, 17, 25, 10, 5, 6, 8, 9, 15, 11, 1, 3, 24, 23, 7, 0}}
gdb23	55	11	0	223	7	223	223	0	1.913	3520	{{4, 21, 22, 40, 28, 27, 38, 50, 49, 42, 41, 15, 13, 44, 33, 11, 12, 39, 18, 14, 47, 8, 5, 46, 16, 17, 52, 31, 29, 48, 26, 25, 54, 53, 37, 34, 43, 32, 19, 24, 7, 9, 51, 23, 20, 3, 0, 10, 1, 6, 45, 35, 36, 30, 2}}
gdb7	22	12	6	262	2	304	305	1.41421	0.939	3520	{{5, 5, 0, 7, 7, 8, 19, 21, 20, 8, 6, 10, 10, 9, 1, 3, 17, 17, 3, 2, 13, 14, 18, 15, 16, 12, 11, 4}}
gdb8	46	27	16	210	3	256	258	1.41421	1.877	3520	{{6, 7, 23, 24, 27, 33, 38, 44, 45, 45, 42, 37, 35, 35, 33, 34, 40, 40, 34, 27, 26, 32, 30, 25, 25, 31, 28, 29, 36, 39, 41, 4, 3, 3, 0, 8, 13, 19, 16, 20, 22, 19, 17, 10, 9, 12, 11, 14, 18, 15, 15, 21, 10, 0, 2, 30, 1, 4, 43, 5}}
gdb4	19	11	8	238	2	266	289.333	3.29983	0.745	8647	{{3, 13, 13, 12, 2, 0, 5, 9, 9, 8, 6, 7, 7, 6, 1, 4, 14, 15, 17, 16, 18, 11, 10, 2}}
gdb9	51	27	14	219	2	253	256	2.44949	1.552	8115	{{5, 50, 47, 42, 41, 45, 49, 47, 44, 44, 46, 24, 25, 5, 3, 3, 4, 48, 25, 10, 8, 15, 28, 27, 30, 36, 33, 29, 29, 32, 39, 43, 38, 32, 34, 40, 33, 31, 37, 2, 1, 35, 2, 6, 7, 14, 11, 17, 17, 16, 18, 22, 26, 21, 21, 13, 12, 19, 23, 20, 9, 0}}
