2B	34	24	310	652	685	34.9094	141.087	3520
3C	35	24	137	279	306.333	20.6774	145.098	3520
1A	39	24	358	600	640	34.4093	148.45	8647
8B	63	30	566	1120	1171.67	57.9904	224.872	8115
5D	65	34	614	1328	1355.33	35.1789	249.465	3520
2C	34	24	310	652	685	34.9094	123.943	3520
7A	66	40	559	1233	1309	53.963	260.642	8115
1B	39	24	358	600	640	34.4093	131.909	8647
4D	69	41	627	1449	1504.67	39.3644	319.206	8647
3A	35	24	137	279	306.333	20.6774	119.225	3520
1C	39	24	358	600	640	34.4093	123.755	8647
6A	50	31	451	944	970.333	19.362	178.348	8115
8C	63	30	566	1120	1171.67	57.9904	211.201	8115
4A	69	41	627	1449	1504.67	39.3644	312.717	8647
3B	35	24	137	279	306.333	20.6774	138.845	3520
10A	97	50	704	1818	1886	135.963	516.848	8115
7B	66	40	559	1233	1309	53.963	273.523	8115
2A	34	24	310	652	685	34.9094	124.039	3520
5A	65	34	614	1328	1355.33	35.1789	242.914	3520
6B	50	31	451	944	970.333	19.362	176.325	8115
4B	69	41	627	1449	1504.67	39.3644	317.469	8647
7C	66	40	559	1233	1309	53.963	256.142	8115
6C	50	31	451	944	970.333	19.362	186.562	8115
5B	65	34	614	1328	1355.33	35.1789	250.166	3520
9A	92	50	654	1700	1751	39.0982	465.676	8115
8A	63	30	566	1120	1171.67	57.9904	191.169	8115
9D	92	50	654	1700	1751	39.0982	437.862	8115
10B	97	50	704	1818	1886	135.963	471.495	8115
5C	65	34	614	1328	1355.33	35.1789	189.237	3520
4C	69	41	627	1449	1504.67	39.3644	254.55	8647
9B	92	50	654	1700	1751	39.0982	282.916	8115
10C	97	50	704	1818	1886	135.963	291.003	8115
10D	97	50	704	1818	1886	135.963	288.305	8115
9C	92	50	654	1700	1751	39.0982	258.136	8115
