0,2,0,2.8284271247461903,2,2.8284271247461903,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,2.8284271247461903,2,2.8284271247461903,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,2.8284271247461903,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2.8284271247461903,0,0,0,2,0,0,2.8284271247461903,0,0,0,0,0,0,0,0,0,0,0,0
2,2.8284271247461903,0,2,0,2,0,2,2.8284271247461903,0,0,0,0,0,0,0,0,0,0,0
2.8284271247461903,2,2.8284271247461903,0,2,0,2,2.8284271247461903,2,2.8284271247461903,0,0,0,0,0,0,0,0,0,0
0,2.8284271247461903,2,0,0,2,0,0,2.8284271247461903,2,0,0,0,0,0,0,0,0,0,0
0,0,0,2.8284271247461903,2,2.8284271247461903,0,0,2,0,5,0,0,0,0,0,0,0,0,0
0,0,0,0,2.8284271247461903,2,2.8284271247461903,2,0,2,0,5,0,0,0,0,0,0,0,0
0,0,0,0,0,2.8284271247461903,2,0,2,0,0,0,5,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5,0,0,0,2,0,2.8284271247461903,2,2.8284271247461903,0,0,0,0
0,0,0,0,0,0,0,0,5,0,2,0,2,0,2.8284271247461903,2,2.8284271247461903,0,0,0
0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,2.8284271247461903,2,0,0,0
0,0,0,0,0,0,0,0,0,0,2.8284271247461903,0,0,0,2,0,0,2.8284271247461903,0,0
0,0,0,0,0,0,0,0,0,0,2,2.8284271247461903,0,2,0,2,0,2,2.8284271247461903,0
0,0,0,0,0,0,0,0,0,0,2.8284271247461903,2,2.8284271247461903,0,2,0,2,2.8284271247461903,2,2.8284271247461903
0,0,0,0,0,0,0,0,0,0,0,2.8284271247461903,2,0,0,2,0,0,2.8284271247461903,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2.8284271247461903,2,2.8284271247461903,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8284271247461903,2,2.8284271247461903,2,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8284271247461903,2,0,2,0
